Subsystem	The Hardware Kit	Qty	Est. (CAD)	URL	Notes / Crucial Detail																					
tubing	Feelers 1/4" ID x 3/8" OD Silicone Tubing Food Grade Pure Silicon Tube High Temp Home Brewing Winemaking Silicone Hose Tubing, 26.25ft Length : Amazon.ca: Industrial & Scientific	1	30	https://www.amazon.ca/Feelers-Silicone-Silicon-Brewing-Winemaking/dp/B08FJ9TTQV/ref=sr_1_4?crid=3GMH7GLY2FXRU&dib=eyJ2IjoiMSJ9.mo59pfJ9o3WOvu6uO6-FBpg7LpCR5V6xUC0POkqLV131udrGSQj75bC2Q13V3IZ13XSOWwAeW6-y1e2kRZKLbCkf039wOUguR-70KgmA02O69W0DVQVADGjjQLk9aRwA9ge-2-5BXeRPr44ccEZNkLITPN7ljFezf6ykSXv3B8N8dLv4Xw6klQZbtESsMJg6VWE2Y8Msse-AylDcTEmab04mHlJjQ3BsgHJ8JNLb6_AfYgyQxPbGNxkaa3X-vwbp-Vo7-kJPdoFpJyHKiFzc1X3Ng-k8mPrB-lMpizk3bok.RXHVFG97yig9gZxXtUACuwhVIeRKju7mE7rgIHq8QP8&dib_tag=se&keywords=%2F4%22%2BID%2Bx%2B3%2F8%22%2BOD%2BFlexible%2BSilicone%2BTubing%2B(10ft)&qid=1778753997&sprefix=4%2Bid%2Bx%2B3%2F8%2Bod%2Bflexible%2Bsilicone%2Btubing%2B10ft%2B%2Caps%2C141&sr=8-4&th=1																						
zip ties	HS Durable Small Plastic Zip Ties 4 Inch (Bulk-1000 Pack) Black Nylon Ties Zap Straps 18 Lbs for PC,Electronic,Wire Cable Ties, Cable Ties - Amazon Canada	1	31	https://www.amazon.ca/HS-Plastic-Self-Locking-Electronics-Electrical/dp/B078NT5F2B/ref=sr_1_3_sspa?crid=356QS3J8XKRLJ&dib=eyJ2IjoiMSJ9.RDaAHOLjgFoB6kGylOVAuK4du83Nvsdas66HCfivpko6WHr3s6rAqam-u2dxCjMZncDRWk2RCJofBxVRJbCBqOUt3kXAKY-lYPqXFsnkJPnTD0t2oxw5WwpwvPgzsTmgzzEeoeTY7LK2DIAw6ayJx5YPTsaHEjfQVOuaeE1r1pM0UppNb4cjwlMhWTTqaKovPScSDHawiMsBnbxS-0bGPW3TYzNV6Rox9-Wn7NChE8IXipvxsI1kQ1O9Sk43jteStgvzCeaflTZVajzkEmrRtb6tCqJnngyfofYizhfa3NI.5uQ5-akBreqpjRMkSTkgv97wrICh0kVtfhIArpbNfpg&dib_tag=se&keywords=zip%2Bties%2B4%2Binch&qid=1778754030&sprefix=zip%2Bties%2B4%2Binch%2Caps%2C110&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1																						
The Firewall	Monk Makes MonkMakes Dual Relay Module - RobotShop	2	30	https://ca.robotshop.com/products/monk-makes-monkmakes-dual-relay-module?qd=2a6e8e54f7658216c3bdc10541476edd	One relay for the 12V water pump trigger, one relay to delay the 12V Gimbal power until Jetson boot completes.																					
IR light	Univivi IR Illuminator 90 Degree Wide Angle 850nm 8-LEDs Infrared Light for Security Cameras with Power Adapter,IP67 Waterproof : Amazon.ca: Electronics			https://www.amazon.ca/Univivi-Illuminator-Infrared-Security-Cameras/dp/B075F7NV56/ref=sr_1_1_sspa?crid=1HDFAKW4SX4VJ&dib=eyJ2IjoiMSJ9.S8XcmCNjIFzfHmMCE_-kL1MNa_BjOwR7Ybe1sPPGKjgdeZAr1JUywFednAcVpSLIn7w1jtTNix8QFkyxdtnkA7Am0THzjYhVeSjLnMXuUV60AaG4VBdBgnoa9Bge_8OU2MxpAiuoRsA0rlUly8RKShEOwtd-Kd8GmtFDhh2b_w-Cl2UD3j8aaDc2Y1i20CXelE1o_RdICDcuvo_o6evamOPXY4IdU6-RjEcrddHhG8vQ_uCr0_KUzPV7epuBg95-ff54vOYr0CTwaIxp3TKPr-Dz6ldwMHD3jcHfD_3FL40.RiqImF3hCG4F6BKVTH-1FxDrHXbbgL01uR--9_GWd4w&dib_tag=se&keywords=850nm%2B48%2BLED%2BInfrared%2BIlluminator%2BLight&qid=1778754745&sprefix=850nm%2B48%2Bled%2Binfrared%2Billuminator%2Blight%2Caps%2C166&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1																						
The Payload	12V DC Diaphragm Pump (60 PSI, Self-Priming)	1	25	https://www.amazon.ca/s?k=12V+DC+diaphragm+pump+60+PSI+self-priming	Replaces submersible pump. Self-priming, dry-run safe, designed for rapid on/off cycling. Surface-mount inside enclosure — NOT submerged.																					
The Lock	Feelers 1/4" One Way Inline Check Valve Non-Return One-Way Air Water Gas Check Valve Ozone Resistance PVDF, Pack of 4 : Amazon.ca: Industrial & Scientific	1	14	https://www.amazon.ca/Feelers-Inline-Non-Return-One-Way-Resistance/dp/B08FRC8NHR/ref=sr_1_7?crid=3BH6KY7SIJSBE&dib=eyJ2IjoiMSJ9.x378e0bMedDtOwKvaKB2qbZ0DY_jQVh0tIcA3kI_hoUcrrP9vhv8XH0DFHF1p-DdpYv72LsY1pPcKiEHGMnfbPqR5t93BDqg2HRCsyTL_lN_Ht-0jQy6wvSosgV1W_yNM94vb724af35Dq1aXJE7rHBRtBkXRh3-hrNjgqgoJSQUFeth8Ac9fhlxG9bdYJK_64up89C5skUpWs4jLLEk9hJw0obevxD5WyANLzAdv1V6wn60oMU8ehLQ5mSuKPZtx6mxnppsegR4nQLLERYrDAUIxSXH9OxasoFus7il8ec.BO8d0cN5KPBAUQ0xpR9Thvl_RrKlSo0zMDca19duf-c&dib_tag=se&keywords=1%2F4%22%2BSpring-Loaded%2BAnti-Siphon%2BValve&qid=1778753618&sprefix=1%2F4%2Bspring-loaded%2Banti-siphon%2Bvalve%2Caps%2C134&sr=8-7&th=1	Replaces the basic check valve; prevents water from dropping out of the line when the turret aims downward.																					
The Shell	Joinfworld Outdoor Electrical Box Waterproof IP67 6X6 Plastic Project Box Enclosure Weatherproof for WiFi Electronics Solar Network Marine Outside with Stainless Steel Hinged : Amazon.ca: Tools & Home Improvement	1	50		Master housing for the Yahboom metal case and the two relay boards.																					
Power	DC 12V 10A Power Adapter, 120W AC 100-240V to DC 12V Transformers, Switching PC Power Cord for LCD Monitor LED Strip Light DVR NVR Security Cameras System CCTV Accessories 2.5mm X 5.5mm US Plug : Amazon.ca: Electronics	1	30		https://www.amazon.ca/100-240V-Transformers-Switching-Security-Accessories/dp/B087LY94T6/ref=sr_1_7?crid=1FIXGAITIOLVQ&dib=eyJ2IjoiMSJ9.hbPVwiAJ-PJ-FRdlcr6LtSKMmSJWn2hd6l5zO6gmy6grHazH1XzZJQl5L7A-bWvkSD8iGtB4bWOE3v0n6mODoRjiZiu6BqOzI-cDKOF17xTR8tinkPpDZ05YX5RBEKqwCd3bM4tZcPQfmjPnMD20gnVvcYF49Bx_fth1dXQj8WMPVlWMw1dr-aONGygi6DXA9i8srYNfBfa7iVq1PeDiXzHOeSa7BtOzKkZivVoWsr31xoZQV66_lzxWWv6F_WeR_OtZmiBSuXR8Ug0cG3ZEefnl2oL4L7AuJ9_JfVetapM.HPoqLWZoE8a6lsa3sy5jGhUh3Rb33AoIEBLoLdmjQSg&dib_tag=se&keywords=The%2B12V%2BPower%2BBrick&qid=1778755894&sprefix=the%2B12v%2Bpower%2Bbrick%2Caps%2C85&sr=8-7&th=1																					
The Well	Shallow Plastic Storage Tote	1	20		Shallow design keeps water head-pressure consistent over 100+ shots throughout the night.																					
Nozzle	Orbit 66190 1/2-Inch Flex-Mist Micro Sprinkler	1	8	https://www.amazon.ca/Orbit-66190-Flex-Mist-Misting-Micro-Sprinkler/dp/B000H9C9LM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.bcG9AZNb-qaWvbx2aFuvtAyYCHuNk1B91p1n7TGDUm15yY3vJ099RbTRm56n_uUUjvJwWjV1586lDtzRmeN8V8iMmqT9UO56V0oDL8H0_JYD0RuMfCRlyzGav1TydcXdxvTgRF2NJLjmampCko1bzzSXwMAuFOcCeSEX6Josw6ALCS27h9snknJMIDX5zjgyJn5aBbqR_SngBjACwapG1aYD49kMXNxY0nlUoMK752F_DWlIw_NLeULONhA7q5pd0vqvhT-vmBmnlqFPg5lix3_7_1zvNAAd_650eUkIjpA.XMiUNLH2SblZRSivi6l0PPhuFCnDSJDhXu6JhELiLxY&dib_tag=se&keywords=Orbit+Flex-Mist+Adjustable+Micro-Sprinkler&qid=1778769556&sr=8-1	The micro-sprinkler is an ideal sprinkler for watering annuals in a flowerbed or vegetables in a garden. It includes a flow control knob to adjust spray distance from 10 to 5 feet at typical operating pressure of 30 PSI. The 10-32 male thread (MT) inlet on the multi-stream emitter connects to an optional 6 or 12-inch drip stake with 10-32 female thread (FT). You can either run 1/4-inch drip tubing from the stake to a drip manifold, a 1/2-inch drip tubing “lateral” line, or directly off the hose faucet with a 1/4-inch hose faucet x 1/4-inch adapter. Available patterns include full, half, quarter, and center strip. Recommended operating pressure is 30 PSI. For outdoor irrigation use with cold water only.																					
Sealing	Dow Corning 786 Silicone Adhesive	---	---	https://www.amazon.ca/00684-Corning-Silicone-Sealant-2-8-Ounce/dp/B000AP6CGQ/ref=sr_1_1?crid=3F03GITBCDF3C&dib=eyJ2IjoiMSJ9.dOPDOmEtrQbDA9MmwcSlXPMeuQdOz6gNPDbo8LvpLo2B_aDS6A2aLJEI3g80ifx_HImzpjUs3bAqXHyTRkcEWOxtYXOC-_yUL8HiB-v3mtwEQLIkJ6ksHj41wMNG48qxCQPQeMa10UewknlaBZuVUrYFVrGewI99EFU84bWQXN74gtCiKaUDgzAY_WzRGbFoD6-MC6cKiT1KoQkakwnXHDaaG4CJAmEoBk5HCYIHle6Od4bojV-0IlkafCtZk4YQFVZC4NbWYzqjAiv3OAHFzB1ffCJ6aPJ-ziURbE2yUAk.nS_biay4SsyMiTkN2Jf7RLGgrP7pkMApfHdvoKC1vK0&dib_tag=se&keywords=Dow+Corning+786+Silicone+Adhesive&qid=1778770717&sprefix=dow+corning+786+silicone+adhesive%2Caps%2C94&sr=8-1	for sealing all parts																					
																										
Weatherproofing	PG9 Nylon Cable Glands (IP68) — 10-pack	1	12	https://www.amazon.ca/s?k=PG9+nylon+cable+gland+IP68+waterproof+10+pack	Need 3-4 for DC power	serial	tubing	and spare. Referenced in drill template + cable_gland_cross.png. NOT in original BOM.																		
Weatherproofing	PG11 Nylon Cable Gland (IP68) — 5-pack	1	10	https://www.amazon.ca/s?k=PG11+nylon+cable+gland+IP68+waterproof	Larger bore needed for HDMI cable pass-through on CSI extension chain. NOT in original BOM.																					
Weatherproofing	Clear Acrylic Disc 50mm x 3mm (Lens Window)	2	8	https://www.amazon.ca/s?k=clear+acrylic+disc+50mm+3mm+circle	Sealed window over the Scout camera lens aperture in enclosure lid. Shown in scout_cam_mount.png. NOT in BOM.																					
Weatherproofing	Nitrile O-Ring Assortment Kit (Metric)	1	14	https://www.amazon.ca/s?k=nitrile+o-ring+assortment+kit+metric	Seals the acrylic lens window and cable gland threads. Shown in scout_cam_mount.png. NOT in BOM.																					
Mounting	M3 Nylon Standoff Assortment Kit (M/F)	1	12	https://www.amazon.ca/s?k=M3+nylon+standoff+assortment+kit+male+female	Mounts OV9281 Scout camera to enclosure lid interior. Shown in scout_cam_mount.png. NOT in BOM.																					
Mounting	M2.5 Screw + Nut Assortment Kit	1	10	https://www.amazon.ca/s?k=M2.5+screw+nut+assortment+stainless+steel	Secures IMX219 sniper camera to gimbal payload plate. Shown in sniper_cam_gimbal.png. NOT in BOM.																					
Mounting	M4 x 16mm Stainless Steel Bolts + Nuts (20-pack)	1	9	https://www.amazon.ca/s?k=M4+stainless+steel+bolt+nut+assortment+kit	Bolts gimbal base to enclosure lid. 4x holes shown in enclosure_drill_template.png. NOT in BOM.																					
Mounting	Adhesive-Backed Zip Tie Mounts (100-pack)	1	9	https://www.amazon.ca/s?k=adhesive+zip+tie+mount+cable+tie+base+100+pack	Anchor tubing and wires inside enclosure without drilling. Shown in tubing_anchor_detail.png. NOT in BOM.																					
Mounting	Aluminum Mounting Post / Pole (1.5m	1" OD)	1	35	https://www.amazon.ca/s?k=aluminum+mounting+pole+1.5m+outdoor	Main vertical post for outdoor deployment. Shown in full_system_assembled.png. NOT in BOM.																				
Mounting	U-Bolt Pipe Clamps (1" for post mounting)	2	8	https://www.amazon.ca/s?k=stainless+steel+u-bolt+pipe+clamp+1+inch	Clamps IP67 enclosure to aluminum post. Referenced in full_system_assembled.png. NOT in BOM.																					
Mounting	3D-Printed Nozzle Bracket (PLA/PETG)	1	5	N/A — Print yourself or order from local print shop	Mounts Orbit nozzle alongside camera on gimbal payload plate. Shown in sniper_cam_gimbal.png. STL file TBD.																					
Power	Male DC Power Pigtail (5.5mm x 2.5mm)	1	8	https://www.amazon.ca/s?k=male+DC+power+pigtail+5.5mm+2.5mm+barrel+jack	Bare wire to barrel plug. Snaps into Wago (Red=+12V	Black=GND)	plugs into Yahboom Jetson DC barrel jack. Check if Yahboom kit includes one. NOT in BOM.																			
Fluid	Hose Clamps (1/4" — 10-pack	Stainless)	1	8	https://www.amazon.ca/s?k=stainless+steel+hose+clamp+1%2F4+inch+10+pack	Secures silicone tubing to pump outlet	check valve barbs	and nozzle. Prevents blowoff under pressure. NOT in BOM.																		
Fluid	Barbed T-Connector 1/4" (for bleed/drain)	2	6	https://www.amazon.ca/s?k=1%2F4+inch+barbed+t-connector+plastic+tubing	Optional drain point for winterization. Also useful for pressure testing. NOT in BOM.																					
Tools	Step Drill Bit Set (for PG9/PG11 enclosure holes)	1	18	https://www.amazon.ca/s?k=step+drill+bit+set+titanium+unibit	Required to cut clean cable gland holes in IP67 enclosure. NOT in BOM.																					
Lidar for distance detection	TF-Luna LiDAR module	1	37	https://www.amazon.ca/Wishiot-TF-Luna-Single-Point-Terminal-WiFi_Lora_32/dp/B09PZ559ZB/ref=asc_df_B09PZ559ZB?tag=bingshopdesk-20&linkCode=df0&hvadid=80745595923809&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=125552&hvtargid=pla-4584345086618852&psc=1&msclkid=9fffc92f96d4105b2403a329f6f00570																						
power protection	flyback diode	10	8	https://www.amazon.ca/100-Pieces-1N4007-Rectifier-Electronic/dp/B079KBFKK5/ref=sr_1_2_sspa?crid=BQB4BL9F3TRI&dib=eyJ2IjoiMSJ9.kzfPO5l3TJKn5v0Ngh0MEMkcbG04EtyUks76o_aI9J4Lh0Me_ECT1jWrdDn9K1iXqTmG0b26LWikW4m3Wtrhvl4TSLUlLCyzl7ifQoBax2IIi5Ae3NkkycZGsYvcR-tiEqfYNc7tGyNlF7IkDMpIoat8F2xaV34z814fRhGxbuES8psl2TyPzUdaP8Dggi8jfa47WTYv-7RRqxs5FW6I7WWMM-vBVFJEWnbs-AtnWH_SDMR7i8vu8qUUYClhpel4vjG6LCeThRFQmoBoCvZa8Zs94o7wZ2o6d8F1Ibs2UvA.PN3wsdo039P7DICUc3Y5Qu84733sOxBoRxpb18lNe_E&dib_tag=se&keywords=1N4007&qid=1778813880&sprefix=1n4007%2Caps%2C127&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1																						
waterproofing	conformal coating	1	9	https://www.amazon.ca/Waterproof-Electronics-Insulating-Electrical-Motherboard/dp/B0FXMYN1ZN/ref=asc_df_B0FXMYN1ZN?mcid=2200979b6d023ddda8085d32a6c9bc33&tag=googleshopc0c-20&linkCode=df0&hvadid=753685307728&hvpos=&hvnetw=g&hvrand=5319400416606407643&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9000761&hvtargid=pla-2464271045731&psc=1&hvocijid=5319400416606407643-B0FXMYN1ZN-&hvexpln=0&gad_source=1																						
water filter	filter for pump	1	10																							
cabling	ribbon cable for 40 pin connector	1	13	https://www.amazon.ca/uxcell-Ribbon-Connector-40Pins-0-3Meters/dp/B0FPFKCP6W/ref=sr_1_4_sspa?crid=194LMPMB6KFVP&dib=eyJ2IjoiMSJ9.cC_y43WUC4zKu6YXRuvlFeaB18ohx5OARZ4zMuh_r8Za3uZDAVgOATEkSuqYeKDi.1V69Z8sWaAvyHoCJsstNiRZvDtCVong_UVHte6pPhHU&dib_tag=se&keywords=Idc40P%2Band%2Bribbon%2Bcable&qid=1778819584&sprefix=idc40p%2Band%2Bribbon%2Bcable%2Caps%2C85&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1																						
cabling	adapter for 40 pin connector	1	28	https://www.amazon.ca/Connector-Breakout-Terminal-Interface-Bracket/dp/B0C4YS184B/ref=sr_1_6?crid=194LMPMB6KFVP&dib=eyJ2IjoiMSJ9.cC_y43WUC4zKu6YXRuvlFeaB18ohx5OARZ4zMuh_r8Za3uZDAVgOATEkSuqYeKDi.1V69Z8sWaAvyHoCJsstNiRZvDtCVong_UVHte6pPhHU&dib_tag=se&keywords=Idc40P+and+ribbon+cable&qid=1778819584&sprefix=idc40p+and+ribbon+cable%2Caps%2C85&sr=8-6																						
status indicator	Active Piezo Buzzer Module (3.3V-5V, 3-pin)	1	2	https://www.amazon.ca/s?k=active+buzzer+module+3.3v+arduino	Audible chime for system status. Connect Signal to IDC40P Terminal 7 (BCM 4), VCC to 3.3V, GND to GND.																					
																										
																										
GRAND TOTAL			1591
